Year,Industry,Sector,Value,Country,Metric
2028,Household Products,Household Products,320.83749225316603,Country_Argentina,Volume M Liters
2028,Non-Alcoholic Beverages,Hot Drinks,10268.570199121463,Country_Argentina,Volume M Liters
2028,Non-Alcoholic Beverages,Soft Drinks,13216.753554986006,Country_Argentina,Volume M Liters
2024,Alcoholic Beverages,Beer & Cider,-,Country_Argentina,Volume M Kilograms
2024,Alcoholic Beverages,Spirits,-,Country_Argentina,Volume M Kilograms
2024,Alcoholic Beverages,Wines,-,Country_Argentina,Volume M Kilograms
2024,Food,Bakery & Cereals,2493.436900238154,Country_Argentina,Volume M Kilograms
2024,Food,Beans & Pulses,19.23301024209543,Country_Argentina,Volume M Kilograms
2024,Food,Confectionery,122.99984780374173,Country_Argentina,Volume M Kilograms
2024,Food,Dairy & Soy Food,1564.1959716375363,Country_Argentina,Volume M Kilograms
2024,Food,Fish & Seafood,209.79249687510108,Country_Argentina,Volume M Kilograms
2024,Food,Ice Cream,73.17929386363942,Country_Argentina,Volume M Kilograms
2024,Food,Meat,2719.964289218548,Country_Argentina,Volume M Kilograms
2024,Food,Meat Substitutes,2.03121651021707,Country_Argentina,Volume M Kilograms
2024,Food,Oils and Fats,571.4818187380383,Country_Argentina,Volume M Kilograms
2024,Food,Other Canned food,142.43102789841595,Country_Argentina,Volume M Kilograms
2024,Food,Other Dried food,332.9220302,Country_Argentina,Volume M Kilograms
2024,Food,Other Frozen Foods,48.72269202286381,Country_Argentina,Volume M Kilograms
2024,Food,Pasta & Noodles,403.1114845075494,Country_Argentina,Volume M Kilograms
2024,Food,Prepared Meals,1.51958061546437,Country_Argentina,Volume M Kilograms
2024,Food,Savory & Deli Foods,22.39396039,Country_Argentina,Volume M Kilograms
2024,Food,Savory Snacks,36.49320350245489,Country_Argentina,Volume M Kilograms
2024,Food,"Seasonings, Dressings & Sauces",139.39088195716664,Country_Argentina,Volume M Kilograms
2024,Food,Soups,6.2818472463548,Country_Argentina,Volume M Kilograms
2024,Food,Syrups & Spreads,95.22101293240497,Country_Argentina,Volume M Kilograms
2024,Fresh Food,Fruits & Vegetables,7243.561487811548,Country_Argentina,Volume M Kilograms
2024,Household Products,Household Products,59.66460613417429,Country_Argentina,Volume M Kilograms
2024,Non-Alcoholic Beverages,Hot Drinks,451.92440194013943,Country_Argentina,Volume M Kilograms
2024,Non-Alcoholic Beverages,Soft Drinks,-,Country_Argentina,Volume M Kilograms
2025,Alcoholic Beverages,Beer & Cider,-,Country_Argentina,Volume M Kilograms
2025,Alcoholic Beverages,Spirits,-,Country_Argentina,Volume M Kilograms
2025,Alcoholic Beverages,Wines,-,Country_Argentina,Volume M Kilograms
2025,Food,Bakery & Cereals,2482.414608081058,Country_Argentina,Volume M Kilograms
2025,Food,Beans & Pulses,19.48994856759812,Country_Argentina,Volume M Kilograms
2025,Food,Confectionery,122.78523801595477,Country_Argentina,Volume M Kilograms
2025,Food,Dairy & Soy Food,1570.252109845983,Country_Argentina,Volume M Kilograms
2025,Food,Fish & Seafood,211.49716153676266,Country_Argentina,Volume M Kilograms
2025,Food,Ice Cream,73.90269508802818,Country_Argentina,Volume M Kilograms
2025,Food,Meat,2766.8772241865236,Country_Argentina,Volume M Kilograms
2025,Food,Meat Substitutes,2.0812293040116,Country_Argentina,Volume M Kilograms
2025,Food,Oils and Fats,581.6768081610064,Country_Argentina,Volume M Kilograms
2025,Food,Other Canned food,144.39462771183673,Country_Argentina,Volume M Kilograms
2025,Food,Other Dried food,335.0303171,Country_Argentina,Volume M Kilograms
2025,Food,Other Frozen Foods,50.05328319240284,Country_Argentina,Volume M Kilograms
2025,Food,Pasta & Noodles,410.467886923648,Country_Argentina,Volume M Kilograms
2025,Food,Prepared Meals,1.5416066945961,Country_Argentina,Volume M Kilograms
2025,Food,Savory & Deli Foods,21.83595303,Country_Argentina,Volume M Kilograms
2025,Food,Savory Snacks,37.26699511098491,Country_Argentina,Volume M Kilograms
2025,Food,"Seasonings, Dressings & Sauces",141.42114647534507,Country_Argentina,Volume M Kilograms
2025,Food,Soups,5.90931379812298,Country_Argentina,Volume M Kilograms
2025,Food,Syrups & Spreads,96.03559250567343,Country_Argentina,Volume M Kilograms
2025,Fresh Food,Fruits & Vegetables,7244.2067504931065,Country_Argentina,Volume M Kilograms
2025,Household Products,Household Products,62.5290513101692,Country_Argentina,Volume M Kilograms
2025,Non-Alcoholic Beverages,Hot Drinks,517.2495775296826,Country_Argentina,Volume M Kilograms
2025,Non-Alcoholic Beverages,Soft Drinks,-,Country_Argentina,Volume M Kilograms
2026,Alcoholic Beverages,Beer & Cider,-,Country_Argentina,Volume M Kilograms
2026,Alcoholic Beverages,Spirits,-,Country_Argentina,Volume M Kilograms
2026,Alcoholic Beverages,Wines,-,Country_Argentina,Volume M Kilograms
2026,Food,Bakery & Cereals,2399.396335317333,Country_Argentina,Volume M Kilograms
2026,Food,Beans & Pulses,19.62882537205806,Country_Argentina,Volume M Kilograms
2026,Food,Confectionery,123.13582007820816,Country_Argentina,Volume M Kilograms
2026,Food,Dairy & Soy Food,1577.2203630562558,Country_Argentina,Volume M Kilograms
2026,Food,Fish & Seafood,213.08548605562638,Country_Argentina,Volume M Kilograms
2026,Food,Ice Cream,74.3449651896608,Country_Argentina,Volume M Kilograms
2026,Food,Meat,2795.566487596987,Country_Argentina,Volume M Kilograms
2026,Food,Meat Substitutes,2.13058074684968,Country_Argentina,Volume M Kilograms
2026,Food,Oils and Fats,593.3256596030539,Country_Argentina,Volume M Kilograms
2026,Food,Other Canned food,146.180653712016,Country_Argentina,Volume M Kilograms
2026,Food,Other Dried food,335.5731254,Country_Argentina,Volume M Kilograms
2026,Food,Other Frozen Foods,50.87087510410243,Country_Argentina,Volume M Kilograms
2026,Food,Pasta & Noodles,416.1465168535312,Country_Argentina,Volume M Kilograms
2026,Food,Prepared Meals,1.56287734261584,Country_Argentina,Volume M Kilograms
2026,Food,Savory & Deli Foods,21.43102683124974,Country_Argentina,Volume M Kilograms
2026,Food,Savory Snacks,37.94297035976611,Country_Argentina,Volume M Kilograms
2026,Food,"Seasonings, Dressings & Sauces",142.9793706407977,Country_Argentina,Volume M Kilograms
2026,Food,Soups,5.69878696075237,Country_Argentina,Volume M Kilograms
2026,Food,Syrups & Spreads,96.77226248714977,Country_Argentina,Volume M Kilograms
2026,Fresh Food,Fruits & Vegetables,7281.6314966796845,Country_Argentina,Volume M Kilograms
2026,Household Products,Household Products,67.8027433350349,Country_Argentina,Volume M Kilograms
2026,Non-Alcoholic Beverages,Hot Drinks,592.975272017133,Country_Argentina,Volume M Kilograms
2026,Non-Alcoholic Beverages,Soft Drinks,-,Country_Argentina,Volume M Kilograms
2027,Alcoholic Beverages,Beer & Cider,-,Country_Argentina,Volume M Kilograms
2027,Alcoholic Beverages,Spirits,-,Country_Argentina,Volume M Kilograms
2027,Alcoholic Beverages,Wines,-,Country_Argentina,Volume M Kilograms
2027,Food,Bakery & Cereals,2359.7177308345535,Country_Argentina,Volume M Kilograms
2027,Food,Beans & Pulses,19.81025117939687,Country_Argentina,Volume M Kilograms
2027,Food,Confectionery,123.25236558658973,Country_Argentina,Volume M Kilograms
2027,Food,Dairy & Soy Food,1581.9340295111056,Country_Argentina,Volume M Kilograms
2027,Food,Fish & Seafood,214.28147811655697,Country_Argentina,Volume M Kilograms
2027,Food,Ice Cream,74.82879279631766,Country_Argentina,Volume M Kilograms
2027,Food,Meat,2815.7877298377184,Country_Argentina,Volume M Kilograms
2027,Food,Meat Substitutes,2.18091484784802,Country_Argentina,Volume M Kilograms
2027,Food,Oils and Fats,610.9095069029697,Country_Argentina,Volume M Kilograms
2027,Food,Other Canned food,148.75090629961872,Country_Argentina,Volume M Kilograms
2027,Food,Other Dried food,341.4175011,Country_Argentina,Volume M Kilograms
2027,Food,Other Frozen Foods,51.68198304141685,Country_Argentina,Volume M Kilograms
2027,Food,Pasta & Noodles,421.8187972684374,Country_Argentina,Volume M Kilograms
2027,Food,Prepared Meals,1.58312991781706,Country_Argentina,Volume M Kilograms
2027,Food,Savory & Deli Foods,21.00283068356401,Country_Argentina,Volume M Kilograms
2027,Food,Savory Snacks,38.76988794651394,Country_Argentina,Volume M Kilograms
2027,Food,"Seasonings, Dressings & Sauces",144.98164536979948,Country_Argentina,Volume M Kilograms
2027,Food,Soups,5.48061008296384,Country_Argentina,Volume M Kilograms
2027,Food,Syrups & Spreads,97.55724556696089,Country_Argentina,Volume M Kilograms
2027,Fresh Food,Fruits & Vegetables,7354.755758176645,Country_Argentina,Volume M Kilograms
2027,Household Products,Household Products,69.86901161343722,Country_Argentina,Volume M Kilograms
2027,Non-Alcoholic Beverages,Hot Drinks,656.5275789908826,Country_Argentina,Volume M Kilograms
2027,Non-Alcoholic Beverages,Soft Drinks,-,Country_Argentina,Volume M Kilograms
2028,Alcoholic Beverages,Beer & Cider,-,Country_Argentina,Volume M Kilograms
